,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
164,159,Jacksonville St.,OVC,18-9,+1.65,105.7,104.0,66.2,+.017,100.8,104.1,1240.0
165,160,Navy,Pat,15-3,+1.39,104.6,103.2,66.2,+.179,97.8,103.5,1298.0
168,161,Northern Iowa,MVC,10-15,+1.39,103.8,102.4,69.2,-.022,104.9,98.6,1320.0
169,162,California,P12,8-19,+1.29,103.2,101.9,65.3,-.054,108.1,98.0,1143.0
170,163,Northeastern,CAA,10-9,+1.21,99.2,98.0,67.4,+.056,105.0,102.5,1318.0
171,164,Murray St.,OVC,13-13,+1.11,104.0,102.9,66.6,-.177,99.4,105.0,1293.0
172,165,UMBC,AE,14-6,+1.09,101.2,100.1,68.0,-.013,98.7,103.8,1420.0
173,166,UTSA,CUSA,14-10,+1.09,107.2,106.1,72.1,+.019,101.9,100.3,1427.0
174,167,Bryant,NEC,15-5,+0.90,104.4,103.5,73.6,-.023,98.3,106.5,1136.0
175,168,Eastern Kentucky,OVC,22-7,+0.77,101.8,101.0,75.2,+.085,99.5,105.4,1184.0
176,169,Wake Forest,ACC,6-15,+0.76,101.5,100.7,67.3,-.097,110.2,96.7,1448.0
177,170,Coastal Carolina,SB,16-7,+0.70,101.0,100.3,71.0,-.081,98.6,105.3,1157.0
178,171,UNLV,MWC,11-14,+0.69,105.2,104.5,66.1,-.022,104.4,99.1,1424.0
179,172,Harvard,Ivy,0-0,+0.56,102.9,102.3,68.4,+.000,0.0,200.0,1217.0
180,173,James Madison,CAA,13-7,+0.51,104.0,103.5,72.2,-.048,100.9,103.7,1241.0
181,174,South Dakota,Sum,14-11,+0.44,107.1,106.7,69.3,-.015,102.5,104.3,1377.0
